YEAR,SERIALNO,PUMA,ADJHSG,ADJINC,CONP,ELEP,FS,GASP,MHP,MRGI,MRGP,MRGT,MRGX,RNTP,SMP,VACS,VALP,YBL,FES,FINCP,GRNTP,GRPIP,HHL,HHT,HINCP,LNGI,MV,OCPIP,SMOCP,TAXP,WORKSTAT,?
2013,123590,812,1000000,1007549,NULL,170,2,100,NULL,1,990,1,1,NULL,NULL,NULL,180000,8,NULL,NULL,NULL,NULL,2,7,59200,1,4,26,1305,25,NULL,?
2013,125470,812,1000000,1007549,NULL,70,2,2,NULL,1,2300,1,1,NULL,NULL,NULL,475000,17,1,125000,NULL,NULL,1,1,125000,1,1,23,2417,40,1,?
2013,129304,812,1000000,1007549,NULL,150,1,80,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,1000,2,8,41100,NULL,NULL,1,3,41100,1,7,11,362,17,15,?
2013,130832,812,1000000,1007549,NULL,40,2,3,NULL,NULL,NULL,NULL,NULL,1400,NULL,NULL,NULL,11,NULL,NULL,1440,56,1,7,31000,1,1,NULL,NULL,NULL,NULL,?
2013,133629,812,1000000,1007549,NULL,140,2,2,NULL,1,1000,1,1,NULL,NULL,NULL,120000,2,2,25000,NULL,NULL,2,1,25000,1,4,58,1207,15,3,?
2013,134455,812,1000000,1007549,NULL,170,2,2,NULL,1,680,1,1,NULL,410,NULL,325000,2,NULL,NULL,NULL,NULL,1,5,102080,1,6,16,1323,26,NULL,?
2013,137415,812,1000000,1007549,350,60,2,10,NULL,2,780,1,1,NULL,NULL,NULL,38000,8,1,100000,NULL,NULL,1,1,100000,1,2,14,1200,31,1,?
2013,138134,812,1000000,1007549,NULL,180,2,2,NULL,1,2200,1,1,NULL,NULL,NULL,300000,1,1,140000,NULL,NULL,1,1,140000,1,4,21,2410,27,1,?
2013,139748,812,1000000,1007549,NULL,30,2,20,NULL,NULL,NULL,NULL,NULL,860,NULL,NULL,NULL,7,NULL,NULL,917,63,1,6,17600,1,3,NULL,NULL,NULL,NULL,?
2013,140376,812,1000000,1007549,180,80,2,3,NULL,1,610,1,1,NULL,NULL,NULL,120000,11,1,64000,NULL,NULL,1,1,64000,1,1,17,890,20,1,?
2013,142589,812,1000000,1007549,NULL,170,2,3,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,140000,3,NULL,NULL,NULL,NULL,1,5,80500,1,1,6,428,24,NULL,?
2013,148414,812,1000000,1007549,NULL,100,2,2,NULL,NULL,NULL,NULL,NULL,750,NULL,NULL,NULL,4,1,60300,850,17,2,1,60300,1,3,NULL,NULL,NULL,1,?
2013,150620,812,1000000,1007549,NULL,1,1,1,NULL,NULL,NULL,NULL,NULL,830,NULL,NULL,NULL,6,3,29300,830,34,1,1,29300,1,3,NULL,NULL,NULL,7,?
2013,155457,812,1000000,1007549,NULL,200,1,2,NULL,NULL,NULL,NULL,NULL,650,NULL,NULL,NULL,1,NULL,NULL,850,101,1,6,6800,1,4,NULL,NULL,NULL,NULL,?
2013,155890,812,1000000,1007549,NULL,80,2,2,NULL,NULL,NULL,NULL,NULL,1400,NULL,NULL,NULL,1,NULL,NULL,1480,38,1,7,46600,1,1,NULL,NULL,NULL,NULL,?
2013,160288,812,1000000,1007549,NULL,130,2,2,NULL,1,1200,1,1,NULL,NULL,NULL,120000,6,3,75100,NULL,NULL,4,1,75100,1,6,23,1430,31,7,?
2013,160654,812,1000000,1007549,NULL,400,2,3,NULL,1,700,1,1,NULL,NULL,NULL,375000,5,NULL,NULL,NULL,NULL,5,5,43400,1,1,31,1120,27,NULL,?
2013,164471,812,1000000,1007549,NULL,20,2,2,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,200000,3,NULL,NULL,NULL,NULL,1,7,24200,1,3,26,531,64,NULL,?
2013,165000,812,1000000,1007549,NULL,200,2,200,NULL,1,930,1,1,NULL,NULL,NULL,120000,11,5,33600,NULL,NULL,5,2,33600,1,2,48,1333,24,10,?
2013,165684,812,1000000,1007549,NULL,130,2,2,NULL,1,2100,1,1,NULL,70,NULL,550000,16,1,199000,NULL,NULL,1,1,199000,1,1,14,2358,52,2,?
2013,168045,812,1000000,1007549,NULL,160,2,160,NULL,2,150,2,1,NULL,150,NULL,180,2,NULL,NULL,NULL,NULL,1,6,3000,1,7,101,697,20,NULL,?
2013,170635,812,1000000,1007549,NULL,70,2,2,NULL,1,1900,1,1,NULL,NULL,NULL,300000,1,1,108000,NULL,NULL,1,1,108000,1,2,22,2000,32,1,?
2013,170790,812,1000000,1007549,NULL,130,2,2,NULL,1,500,1,1,NULL,NULL,NULL,50000,6,4,10200,NULL,NULL,2,1,10200,2,4,86,730,16,9,?
2013,174641,812,1000000,1007549,NULL,200,2,80,NULL,1,1000,1,1,NULL,NULL,NULL,120000,7,1,105600,NULL,NULL,1,1,105600,1,3,15,1284,19,1,?
2013,174648,812,1000000,1007549,NULL,20,2,1,NULL,NULL,NULL,NULL,NULL,780,NULL,NULL,NULL,2,NULL,NULL,800,14,1,7,71000,1,2,NULL,NULL,NULL,NULL,?
