YEAR,SERIALNO,PUMA,ADJHSG,ADJINC,CONP,ELEP,FS,GASP,MHP,MRGI,MRGP,MRGT,MRGX,RNTP,SMP,VACS,VALP,YBL,FES,FINCP,GRNTP,GRPIP,HHL,HHT,HINCP,LNGI,MV,OCPIP,SMOCP,TAXP,WORKSTAT
2012,305915,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,309077,812,1000000,1010207,NULL,60,2,10,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,138000,2,7,48170,NULL,NULL,1,3,48170,1,1,5,215,15,13
2012,311518,812,1000000,1010207,NULL,110,2,30,NULL,2,1700,2,1,NULL,NULL,NULL,150000,6,1,157190,NULL,NULL,3,1,157190,1,5,16,2140,24,1
2012,311661,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,314073,812,1000000,1010207,NULL,150,2,2,NULL,2,1600,2,1,NULL,300,NULL,290000,3,NULL,NULL,NULL,NULL,1,6,48000,1,5,56,2234,27,NULL
2012,315834,812,1000000,1010207,NULL,160,2,20,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,350000,1,2,78400,NULL,NULL,1,1,78400,1,6,7,444,25,3
2012,317550,812,1000000,1010207,NULL,60,2,140,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,NULL,1,4,26600,735,33,1,1,26600,1,3,NULL,NULL,NULL,9
2012,321353,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,323166,812,1000000,1010207,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,324387,812,1000000,1010207,NULL,50,2,1,NULL,NULL,NULL,NULL,NULL,700,NULL,NULL,NULL,2,NULL,NULL,750,10,1,7,91000,1,2,NULL,NULL,NULL,NULL
2012,325957,812,1000000,1010207,NULL,70,1,3,NULL,NULL,NULL,NULL,NULL,160,NULL,NULL,NULL,6,NULL,NULL,230,32,1,6,8600,1,5,NULL,NULL,NULL,NULL
2012,325974,812,1000000,1010207,NULL,100,2,30,NULL,1,740,1,1,NULL,NULL,NULL,106000,5,2,32000,NULL,NULL,2,1,32000,1,1,34,895,10,3
2012,332377,812,1000000,1010207,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012,332474,812,1000000,1010207,NULL,1,2,1,NULL,NULL,NULL,NULL,NULL,320,NULL,NULL,NULL,1,NULL,NULL,320,32,1,6,12000,1,5,NULL,NULL,NULL,NULL
2012,332827,812,1000000,1010207,NULL,120,1,110,NULL,NULL,NULL,NULL,NULL,1200,NULL,NULL,NULL,6,5,39500,1472,45,1,2,39500,1,2,NULL,NULL,NULL,11
2012,336370,812,1000000,1010207,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
